date,code,indicator,hamilton_cycle,model_A_regime,model_A_prob_high,model_B_regime,model_B_prob_high,model_B_converged
2006-01-31,M0000612,CPI,0.759189787166778,低位区制,0.31352956538671944,低位区制,0.0,True
2006-02-28,M0000612,CPI,-0.2019210503050835,低位区制,0.0072605325205185615,低位区制,0.0,True
2006-03-31,M0000612,CPI,-0.6682977424337694,低位区制,1.465337093927832e-05,低位区制,0.0,True
2006-04-30,M0000612,CPI,-0.17065237333883998,低位区制,0.00014347417350171542,低位区制,3.147704388842544e-86,True
2006-05-31,M0000612,CPI,0.18429762836932523,低位区制,0.001001622757963023,低位区制,5.9287531059292086e-24,True
2006-06-30,M0000612,CPI,0.0002860359866165285,低位区制,0.00038932268426902994,低位区制,0.0,True
2006-07-31,M0000612,CPI,-0.5740876461794727,低位区制,1.0324928498771602e-05,低位区制,0.0,True
2006-08-31,M0000612,CPI,-0.6788885580303183,低位区制,4.7945942950398546e-06,低位区制,0.0,True
2006-09-30,M0000612,CPI,-0.660194514613224,低位区制,1.000067357562049e-05,低位区制,0.0,True
2006-10-31,M0000612,CPI,0.04117825177406376,低位区制,0.0035000484049008437,低位区制,0.0,True
2006-11-30,M0000612,CPI,0.5392071015270666,低位区制,0.03473354973946381,低位区制,0.0,True
2006-12-31,M0000612,CPI,0.6330661546403811,低位区制,0.045347514673830705,低位区制,7.870344526093072e-44,True
2007-01-31,M0000612,CPI,-0.155629824099917,低位区制,0.023233367035301464,低位区制,0.0,True
2007-02-28,M0000612,CPI,0.0918015381159823,低位区制,0.12163461395547875,低位区制,2.4083032528576443e-21,True
2007-03-31,M0000612,CPI,0.905942728268115,高位区制,0.8767716440358309,低位区制,0.0,True
2007-04-30,M0000612,CPI,0.6387004796094632,高位区制,0.9539899936381424,低位区制,0.0,True
2007-05-31,M0000612,CPI,0.6397292345393714,高位区制,0.9850932930454809,低位区制,2.130819153497311e-177,True
2007-06-30,M0000612,CPI,1.1359243033197535,高位区制,0.9993387421638437,低位区制,0.0,True
2007-07-31,M0000612,CPI,1.5739356420187756,高位区制,0.9999743444554149,低位区制,0.0,True
2007-08-31,M0000612,CPI,1.4877547474790809,高位区制,0.9999684100289196,低位区制,4.5838605156597954e-27,True
2007-09-30,M0000612,CPI,1.791296084014367,高位区制,0.9999906525190663,低位区制,0.0,True
2007-10-31,M0000612,CPI,1.971260279876969,高位区制,0.9999952636127173,低位区制,0.0,True
2007-11-30,M0000612,CPI,1.9358783395834758,高位区制,0.9999946097343732,低位区制,2.0779412779736816e-39,True
2007-12-31,M0000612,CPI,1.8338191581108103,高位区制,0.999992110159732,高位区制,0.7130162855831582,True
2008-01-31,M0000612,CPI,2.1715714929312484,高位区制,0.9999976729580111,低位区制,0.0,True
2008-02-29,M0000612,CPI,2.472586774499767,高位区制,0.9999991227532863,低位区制,0.0,True
2008-03-31,M0000612,CPI,1.445525816896609,高位区制,0.9999618779024183,低位区制,0.0,True
2008-04-30,M0000612,CPI,1.2775978523049987,高位区制,0.9999217096081503,低位区制,5.3571228652109893e-219,True
2008-05-31,M0000612,CPI,1.6127640917052612,高位区制,0.9999807571914906,低位区制,0.0,True
2008-06-30,M0000612,CPI,1.668602845857595,高位区制,0.9999678702805059,低位区制,9.456187833537835e-70,True
2008-07-31,M0000612,CPI,1.1993565018363386,高位区制,0.995329632868914,低位区制,0.0,True
2008-08-31,M0000612,CPI,0.6917070605717326,高位区制,0.8251855467468391,低位区制,0.0,True
2008-09-30,M0000612,CPI,0.3191714875272915,低位区制,0.2632180722942268,低位区制,0.0,True
2008-10-31,M0000612,CPI,-1.0217858160987936,低位区制,3.088730031088922e-05,低位区制,0.0,True
2008-11-30,M0000612,CPI,-1.6162361893112533,低位区制,6.416056662235359e-09,低位区制,0.0,True
2008-12-31,M0000612,CPI,-1.850528501662758,低位区制,1.0479808632230696e-09,低位区制,0.0,True
2009-01-31,M0000612,CPI,-1.008217638103644,低位区制,5.202330696486582e-07,低位区制,0.0,True
2009-02-28,M0000612,CPI,-2.0544243797278483,低位区制,2.0754014174572732e-10,低位区制,0.0,True
2009-03-31,M0000612,CPI,-1.4124755159894509,低位区制,2.9136886699911495e-08,低位区制,0.039112874594670506,True
2009-04-30,M0000612,CPI,-1.0120131749073125,低位区制,5.068009449728869e-07,低位区制,6.611479401809604e-151,True
2009-05-31,M0000612,CPI,-1.1024726673474277,低位区制,2.699779876268997e-07,低位区制,0.0,True
2009-06-30,M0000612,CPI,-1.405972135382354,低位区制,3.057492076701177e-08,低位区制,0.0,True
2009-07-31,M0000612,CPI,-0.8956780008093115,低位区制,1.8391406022295644e-06,低位区制,4.58422525544157e-05,True
2009-08-31,M0000612,CPI,0.012237927426261397,低位区制,0.0026068116988445284,低位区制,0.0,True
2009-09-30,M0000612,CPI,-0.15708123996228585,低位区制,0.029654799951755413,低位区制,0.0,True
2009-10-31,M0000612,CPI,0.9697511727967381,高位区制,0.9213727165862627,低位区制,0.0,True
2009-11-30,M0000612,CPI,0.8923099327684716,高位区制,0.9898634572379909,低位区制,1.0948408034392807e-217,True
2009-12-31,M0000612,CPI,1.1610541932377685,高位区制,0.9970388660324903,低位区制,9.509624879415979e-234,True
2010-01-31,M0000612,CPI,0.1529913767575945,高位区制,0.9703567831540777,低位区制,0.0,True
2010-02-28,M0000612,CPI,1.0452477773121496,高位区制,0.9925826041293678,低位区制,0.0,True
2010-03-31,M0000612,CPI,0.8834540045115468,高位区制,0.9777123801308786,低位区制,0.0,True
2010-04-30,M0000612,CPI,0.6658709926405773,高位区制,0.842060540390554,低位区制,0.0,True
2010-05-31,M0000612,CPI,0.4366448534345835,低位区制,0.4489418424837232,低位区制,0.0,True
2010-06-30,M0000612,CPI,0.22292589436637927,低位区制,0.102544918458045,低位区制,0.0,True
2010-07-31,M0000612,CPI,-0.02566294524862134,低位区制,0.006735868074742689,低位区制,0.0,True
2010-08-31,M0000612,CPI,-0.6048593561958038,低位区制,0.00013388103747801437,低位区制,0.0,True
2010-09-30,M0000612,CPI,0.024528232779665315,低位区制,0.023096035622662485,低位区制,0.0,True
2010-10-31,M0000612,CPI,0.27471980672404916,低位区制,0.27726342939748666,低位区制,0.08556063243682643,True
2010-11-30,M0000612,CPI,1.1540516964499208,高位区制,0.9718133804881988,低位区制,0.0,True
2010-12-31,M0000612,CPI,0.7555888426698526,高位区制,0.9937545518695947,低位区制,0.0,True
2011-01-31,M0000612,CPI,1.025052776749675,高位区制,0.9993885126883151,低位区制,2.5773601060930412e-169,True
2011-02-28,M0000612,CPI,1.1671686345028598,高位区制,0.9998529281447907,低位区制,3.2859323946942225e-37,True
2011-03-31,M0000612,CPI,1.324459204448459,高位区制,0.9999332696312015,低位区制,4.1338990038718594e-98,True
2011-04-30,M0000612,CPI,1.2193865378628885,高位区制,0.9998963261381423,低位区制,1.471886676869995e-125,True
2011-05-31,M0000612,CPI,1.2621345419405028,高位区制,0.9999139753600542,高位区制,0.716215664042853,True
2011-06-30,M0000612,CPI,1.341118334965242,高位区制,0.9999363140396181,低位区制,2.474792534493459e-20,True
2011-07-31,M0000612,CPI,1.003019605851586,高位区制,0.9997225393603866,低位区制,0.0,True
2011-08-31,M0000612,CPI,1.368581198671951,高位区制,0.999943388425189,低位区制,0.0,True
2011-09-30,M0000612,CPI,1.530218654578979,高位区制,0.9999102931574247,低位区制,5.2451799043791364e-189,True
2011-10-31,M0000612,CPI,1.3118605705944182,高位区制,0.9902189486384525,低位区制,6.136e-321,True
2011-11-30,M0000612,CPI,0.2575741971384252,低位区制,0.39487145209981395,低位区制,0.0,True
2011-12-31,M0000612,CPI,0.3007318029981295,低位区制,0.19966849001649628,低位区制,2.1966711643517828e-257,True
2012-01-31,M0000612,CPI,0.5204287111417396,低位区制,0.12002756537804957,高位区制,0.5457587337613293,True
2012-02-29,M0000612,CPI,-0.5924445458764904,低位区制,0.00025446337318177684,低位区制,0.0,True
2012-03-31,M0000612,CPI,-0.4309956368610983,低位区制,2.5961598520190336e-05,低位区制,0.0,True
2012-04-30,M0000612,CPI,-0.1079380726071868,低位区制,0.00018727120325676076,低位区制,2.9343573038549875e-06,True
2012-05-31,M0000612,CPI,0.025136701610818435,低位区制,0.0004648251111668933,低位区制,2.988586969947841e-200,True
2012-06-30,M0000612,CPI,-0.048922663411616336,低位区制,0.0009902380429582217,低位区制,0.0,True
2012-07-31,M0000612,CPI,0.4762565364289729,低位区制,0.012262121527889087,低位区制,0.0,True
2012-08-31,M0000612,CPI,0.5513736083707804,低位区制,0.014238238862543783,低位区制,3.0746190778472407e-88,True
2012-09-30,M0000612,CPI,-0.23185778551891,低位区制,0.0004196542713613041,低位区制,0.0,True
2012-10-31,M0000612,CPI,0.08714107080859754,低位区制,0.0008690012459054403,高位区制,0.6382416421104232,True
2012-11-30,M0000612,CPI,0.03591029694154768,低位区制,0.0024900308549225037,低位区制,0.0,True
2012-12-31,M0000612,CPI,0.2891438965017351,低位区制,0.021002604418936845,低位区制,0.4664971914782797,True
2013-01-31,M0000612,CPI,-0.01591897224042392,低位区制,0.06329957670716949,低位区制,0.0,True
2013-02-28,M0000612,CPI,1.2285714222995843,高位区制,0.6857198383315722,低位区制,0.0,True
2013-03-31,M0000612,CPI,0.749775150275921,高位区制,0.641641792536429,低位区制,0.0,True
2013-04-30,M0000612,CPI,0.4939578038905965,低位区制,0.3853052392179918,低位区制,0.0,True
2013-05-31,M0000612,CPI,0.07035983962066958,低位区制,0.07603851460783705,低位区制,0.0,True
2013-06-30,M0000612,CPI,0.4203505714969472,低位区制,0.044033004769232935,低位区制,2.0551794291725576e-73,True
2013-07-31,M0000612,CPI,0.26866882981373963,低位区制,0.013298363556161798,低位区制,0.0,True
2013-08-31,M0000612,CPI,-0.19612606978837804,低位区制,0.0006831407975486281,低位区制,0.0,True
2013-09-30,M0000612,CPI,0.36515444937263125,低位区制,0.0030346911619802833,低位区制,0.0,True
2013-10-31,M0000612,CPI,-0.1371562557565581,低位区制,0.0008821595113495343,低位区制,0.0,True
2013-11-30,M0000612,CPI,0.5718259072308656,低位区制,0.012031239098943748,低位区制,0.0,True
2013-12-31,M0000612,CPI,0.2037196261932058,低位区制,0.006737763437792203,低位区制,0.0,True
2014-01-31,M0000612,CPI,0.5169397894443057,低位区制,0.009335447730875374,低位区制,1.3226310357224176e-56,True
2014-02-28,M0000612,CPI,-0.4350521537758188,低位区制,7.64685922560819e-05,低位区制,0.0,True
2014-03-31,M0000612,CPI,-0.17770632025366728,低位区制,0.00011364033838951254,低位区制,2.7244660217096733e-72,True
2014-04-30,M0000612,CPI,-0.38433623421346896,低位区制,3.310266148731054e-05,低位区制,0.0,True
2014-05-31,M0000612,CPI,-0.16817608057641067,低位区制,0.00011918478449517523,低位区制,4.271246219543083e-129,True
2014-06-30,M0000612,CPI,-0.3706391570015658,低位区制,3.605546995400426e-05,低位区制,0.0,True
2014-07-31,M0000612,CPI,-0.2064042158879205,低位区制,0.000114922355939931,低位区制,1.4538825548160235e-250,True
2014-08-31,M0000612,CPI,0.17005201233902703,低位区制,0.000934293139409664,低位区制,9.06617090103212e-39,True
2014-09-30,M0000612,CPI,0.0017316247436155452,低位区制,0.00046690020288604555,低位区制,0.0,True
2014-10-31,M0000612,CPI,0.1741133619502817,低位区制,0.000943113182698159,低位区制,6.103567637318319e-76,True
2014-11-30,M0000612,CPI,-0.3587756554257574,低位区制,4.753778188157651e-05,低位区制,0.0,True
2014-12-31,M0000612,CPI,-0.05854768742080729,低位区制,0.00022711618195799568,低位区制,4.7042778461626294e-11,True
2015-01-31,M0000612,CPI,-0.9677782993019436,低位区制,7.278007412118516e-07,低位区制,0.0,True
2015-02-28,M0000612,CPI,-0.5165176031230193,低位区制,1.365892682989095e-05,高位区制,0.7887277602060752,True
2015-03-31,M0000612,CPI,-0.5518321598023459,低位区制,1.139018245958245e-05,低位区制,0.0,True
2015-04-30,M0000612,CPI,-0.10295702930699432,低位区制,0.00018339586770884465,低位区制,3.777960990025693e-47,True
2015-05-31,M0000612,CPI,-0.06058524471308108,低位区制,0.0002476963270025991,低位区制,0.0,True
2015-06-30,M0000612,CPI,-0.032776919461513176,低位区制,0.0003065556087193855,低位区制,0.0,True
