code,indicator,latest_date,model_A_latest_regime,model_A_prob_high,model_B_latest_regime,model_B_prob_high,latest_conclusion_consistent,historical_regime_agreement,model_A_aic,model_B_aic,aic_preferred,model_A_bic,model_B_bic,bic_preferred,model_B_low_intercept,model_B_low_ar1,model_B_high_intercept,model_B_high_ar1,model_B_converged
M0000612,CPI,2026-03-31,低位区制,0.0003202462966969017,低位区制,0.0,True,0.7818930041152263,467.6193663428203,311.30512783232655,模型B,488.57773500286356,335.75655793571036,模型B,-0.010903975544145584,0.8108409842395468,0.2687776716034995,0.8108409842395468,True
M0017126,PMI,2026-03-31,低位区制,0.010350237335467291,低位区制,0.23051815979501153,True,0.9218106995884774,435.03475503142414,279.4784320328751,模型B,455.9931236914674,303.9298621362589,模型B,-0.0685460649696534,0.6953907478758199,0.12753944838964068,0.6953907478758199,True
M0000545,工业增加值,2026-03-31,低位区制,0.018404452482137422,低位区制,0.016631028701992585,True,0.7160493827160493,417.36590865201885,299.9554548247461,模型B,438.3242773120621,324.4068849281299,模型B,-0.013108411828554543,0.7951364722621943,0.0238266984136368,0.7951364722621943,True
M0001227,PPI,2026-03-31,低位区制,0.12548825124738708,低位区制,0.028205810800903418,True,0.6008230452674898,432.00472765314413,156.08517276588162,模型B,452.9630963131874,180.53660286926547,模型B,-0.004688731075761241,0.9141371580288644,0.011564607306090382,0.9141371580288644,True
