date,code,indicator,hamilton_cycle,prob_low,prob_high,regime,raw_value,standardized,hamilton_trend
2005-12-31,M0000612,CPI,0.2141416833829139,0.8797720702782683,0.12022792972173017,低位区制,1.6,-0.2827731269729255,-0.4969148103558394
2006-01-31,M0000612,CPI,0.759189787166778,0.885579275525204,0.11442072447479448,低位区制,1.9,-0.1248436868865964,-0.8840334740533744
2006-02-28,M0000612,CPI,-0.2019210503050835,0.9972371898300639,0.002762810169934356,低位区制,0.9,-0.6512751538410271,-0.44935410353594357
2006-03-31,M0000612,CPI,-0.6682977424337694,0.9999910059200262,8.99407997207466e-06,低位区制,0.8,-0.7039183005364701,-0.03562055810270073
2006-04-30,M0000612,CPI,-0.17065237333883998,0.9998615696103128,0.00013843038968537163,低位区制,1.2,-0.4933457137546979,-0.3226933404158579
2006-05-31,M0000612,CPI,0.18429762836932523,0.9990486811878456,0.0009513188121524354,低位区制,1.4,-0.38805942036381175,-0.572357048733137
2006-06-30,M0000612,CPI,0.0002860359866165285,0.9996271767744545,0.0003728232255436254,低位区制,1.5,-0.3354162736683686,-0.33570230965498515
2006-07-31,M0000612,CPI,-0.5740876461794727,0.9999897966938742,1.0203306123915785e-05,低位区制,1.0,-0.598632007145584,-0.024544360966111234
2006-08-31,M0000612,CPI,-0.6788885580303183,0.9999952366777404,4.763322257676892e-06,低位区制,1.3,-0.44070256705925476,0.23818599097106352
2006-09-30,M0000612,CPI,-0.660194514613224,0.9999900355577146,9.964442283588566e-06,低位区制,1.5,-0.3354162736683686,0.3247782409448553
2006-10-31,M0000612,CPI,0.04117825177406376,0.9966563313537491,0.0033436686462490887,低位区制,1.4,-0.38805942036381175,-0.4292376721378755
2006-11-30,M0000612,CPI,0.5392071015270666,0.9670897214969095,0.03291027850308878,低位区制,1.9,-0.1248436868865964,-0.664050788413663
2006-12-31,M0000612,CPI,0.6330661546403811,0.956698850851627,0.04330114914837121,低位区制,2.8,0.3489446333723912,-0.2841215212679899
2007-01-31,M0000612,CPI,-0.155629824099917,0.9768388491656734,0.023161150834324757,低位区制,2.2,0.03308575319973294,0.18871557729964994
2007-02-28,M0000612,CPI,0.0918015381159823,0.8783156685579315,0.12168433144206656,低位区制,2.7,0.2963014866769483,0.20449994856096598
2007-03-31,M0000612,CPI,0.905942728268115,0.12731068010018398,0.8726893198998145,高位区制,3.3,0.6121603668496065,-0.29378236141850844
2007-04-30,M0000612,CPI,0.6387004796094632,0.04811749753797288,0.9518825024620254,高位区制,3.0,0.4542309267632774,-0.18446955284618577
2007-05-31,M0000612,CPI,0.6397292345393714,0.01565791011826363,0.9843420898817348,高位区制,3.4,0.6648035135450496,0.025074279005678296
2007-06-30,M0000612,CPI,1.1359243033197535,0.0007050590369257759,0.9992949409630725,高位区制,4.4,1.1912349804994806,0.05531067717972704
2007-07-31,M0000612,CPI,1.5739356420187756,2.603873608179551e-05,0.9999739612639165,高位区制,5.6,1.822952740844797,0.24901709882602133
2007-08-31,M0000612,CPI,1.4877547474790809,3.143735636300999e-05,0.9999685626436353,高位区制,6.5,2.296741061103785,0.8089863136247042
2007-09-30,M0000612,CPI,1.791296084014367,9.382097440683078e-06,0.9999906179025578,高位区制,6.2,2.1388116210174557,0.34751553700308857
2007-10-31,M0000612,CPI,1.971260279876969,4.7744678607929e-06,0.9999952255321377,高位区制,6.5,2.296741061103785,0.3254807812268161
2007-11-30,M0000612,CPI,1.9358783395834758,5.428765660799666e-06,0.9999945712343378,高位区制,6.9,2.507313647885557,0.5714353083020813
2007-12-31,M0000612,CPI,1.8338191581108103,7.925183968769312e-06,0.9999920748160298,高位区制,6.5,2.296741061103785,0.46292190299297464
2008-01-31,M0000612,CPI,2.1715714929312484,2.35628562206573e-06,0.9999976437143766,高位区制,7.1,2.612599941276443,0.4410284483451946
2008-02-29,M0000612,CPI,2.472586774499767,8.938274796107504e-07,0.9999991061725192,高位区制,8.7,3.454890288403532,0.9823035139037646
2008-03-31,M0000612,CPI,1.445525816896609,3.789825023403611e-05,0.9999621017497645,高位区制,8.3,3.2443177016217604,1.7987918847251514
2008-04-30,M0000612,CPI,1.2775978523049987,7.7401197275152e-05,0.9999225988027235,高位区制,8.5,3.349603995012646,2.0720061427076475
2008-05-31,M0000612,CPI,1.6127640917052612,1.924396705144913e-05,0.9999807560329472,高位区制,7.7,2.9284588214491016,1.3156947297438404
2008-06-30,M0000612,CPI,1.668602845857595,3.414603750277735e-05,0.9999658539624958,高位区制,7.1,2.612599941276443,0.9439970954188479
2008-07-31,M0000612,CPI,1.1993565018363386,0.004942640418707119,0.9950573595812916,高位区制,6.3,2.191454767712899,0.9920982658765602
2008-08-31,M0000612,CPI,0.6917070605717326,0.17818183703308846,0.8218181629669101,高位区制,4.9,1.454450713976696,0.7627436534049634
2008-09-30,M0000612,CPI,0.3191714875272915,0.7386790525489064,0.2613209474510922,低位区制,4.6,1.2965212738903664,0.9773497863630749
2008-10-31,M0000612,CPI,-1.0217858160987936,0.9999671640154153,3.283598458341816e-05,低位区制,4.0,0.9806623937177081,2.0024482098165017
2008-11-30,M0000612,CPI,-1.6162361893112533,0.9999999932187678,6.781230829649781e-09,低位区制,2.4,0.13837204659061894,1.7546082359018722
2008-12-31,M0000612,CPI,-1.850528501662758,0.9999999988742785,1.125720188827008e-09,低位区制,1.2,-0.4933457137546979,1.35718278790806
2009-01-31,M0000612,CPI,-1.008217638103644,0.9999994727466052,5.272533936627413e-07,低位区制,1.0,-0.598632007145584,0.4095856309580601
