code,indicator,latest_date,latest_raw,hamilton_cycle,regime,prob_high,economic_reading
M0000612,CPI,2026-03-31,1.0,-0.35176608402634546,低位区制,0.00032098566134435057,偏弱/偏低
M0017126,PMI,2026-03-31,50.4,-0.03996062374335729,低位区制,0.009677980574408832,偏弱/偏低
M0000545,工业增加值,2026-03-31,5.7,-0.26004651149830355,低位区制,0.01837508424680449,偏弱/偏低
M0001227,PPI,2026-03-31,0.5,0.27297819861890094,低位区制,0.12788196763680346,偏弱/偏低
