model,start_date,end_date,observations,growth_agreement,inflation_agreement,quadrant_agreement
模型A：均值—方差切换,2006-01-31,2026-03-31,243,0.8395061728395061,0.8065843621399177,0.6954732510288066
模型B：切换AR(1)回归,2006-01-31,2026-03-31,243,0.7078189300411523,0.5308641975308642,0.42386831275720166
