code,indicator,log_likelihood,aic,bic,low_mean,high_mean,p_stay_low,p_stay_high,expected_low_months,expected_high_months,converged
M0000612,CPI,-228.82199207717628,469.64398415435255,490.6269935061118,-0.2982279243192573,1.1385077448730074,0.9711030284994062,0.8850498876542178,34.605702538048035,8.699426034416504,True
M0017126,PMI,-213.1551217044405,438.310243408881,459.2932527606402,-0.23650897855331973,0.4604285007668807,0.9744801574742272,0.9407054801882332,39.18519477501042,16.86496497778456,True
M0000545,工业增加值,-204.21605703602796,420.4321140720559,441.41512342381515,-0.18817136284161243,0.2630407312118573,0.9144694124363288,0.8751289830183973,11.691723726971645,8.008263439924814,True
M0001227,PPI,-210.86536676928125,433.7307335385625,454.7137428903217,-0.5224421128319139,0.7651805107249566,0.9691450948428898,0.9481757901023807,32.40975770005114,19.296000884056674,True
