model_scope,code,name,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,regime_label
full_sample,M0001227,中国:PPI:当月同比,1997/9/30,-0.901144476,1,8.78E-23,1,1.02E-23,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1997/10/31,-2.449631148,0.92,0.08,0.999059992,0.000940008,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1997/11/30,-1.186955975,0.919210394,0.080789606,0.993475474,0.006524526,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1997/12/31,-1.169156341,0.914519398,0.085480602,0.992873928,0.007126072,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/1/31,-1.948654979,0.914014099,0.085985901,0.997813618,0.002186382,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/2/28,-2.1182658,0.918163439,0.081836561,0.998401157,0.001598843,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/3/31,-3.126616651,0.918656972,0.081343028,0.999660131,0.000339869,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/4/30,-3.248771583,0.91971451,0.08028549,0.99972205,0.00027795,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/5/31,-4.42098753,0.919766522,0.080233478,0.999953797,4.62E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/6/30,-5.027990449,0.919961189,0.080038811,0.999981799,1.82E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/7/31,-5.796018419,0.919984711,0.080015289,0.999994383,5.62E-06,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/8/31,-5.413214687,0.919995282,0.080004718,0.99998991,1.01E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/9/30,-3.967425792,0.919991525,0.080008475,0.99990779,9.22E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/10/31,-2.774370409,0.919922544,0.080077456,0.999427315,0.000572685,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/11/30,-3.948278112,0.919518944,0.080481056,0.999904439,9.56E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1998/12/31,-2.893755076,0.919919729,0.080080271,0.99952288,0.00047712,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/1/31,-2.369389554,0.91959922,0.08040078,0.998931521,0.001068479,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/2/28,-2.80176315,0.919102477,0.080897523,0.999444697,0.000555303,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/3/31,-2.812655437,0.919533546,0.080466454,0.999457035,0.000542965,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/4/30,-1.419104846,0.91954391,0.08045609,0.995437966,0.004562034,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/5/31,-4.629112258,0.916167892,0.083832108,0.999964754,3.52E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/6/30,-0.25315473,0.919970394,0.080029606,0.973579964,0.026420036,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/7/31,-1.789549381,0.89780717,0.10219283,0.996629303,0.003370697,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/8/31,-0.620219311,0.917168614,0.082831386,0.984189459,0.015810541,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/9/30,-1.59193937,0.906719145,0.093280855,0.995880792,0.004119208,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/10/31,-0.077496848,0.916539866,0.083460134,0.964164653,0.035835347,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/11/30,-0.929483795,0.889898308,0.110101692,0.986475682,0.013524318,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,1999/12/31,-1.396730992,0.908639573,0.091360427,0.994579564,0.005420436,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2000/1/31,-0.422288022,0.915446834,0.084553166,0.978242112,0.021757888,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2000/2/29,1.395226909,0.901723374,0.098276626,0.702409778,0.297590222,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2000/3/31,0.058883401,0.670024213,0.329975787,0.801496379,0.198503621,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2000/4/30,2.465309023,0.753256958,0.246743042,0.132471004,0.867528996,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2000/5/31,-0.459431304,0.191275643,0.808724357,0.50971114,0.49028886,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2000/6/30,0.298335002,0.508157358,0.491842642,0.587480897,0.412519103,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2000/7/31,4.421757033,0.573483954,0.426516046,0.003356969,0.996643031,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2000/8/31,2.186066079,0.082819854,0.917180146,0.006877253,0.993122747,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2000/9/30,1.983967477,0.085776892,0.914223108,0.009708109,0.990291891,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2000/10/31,0.553021243,0.088154812,0.911845188,0.082776183,0.917223817,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2000/11/30,0.453629981,0.149531994,0.850468006,0.160433471,0.839566529,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2000/12/31,-0.766842843,0.214764116,0.785235884,0.658046694,0.341953306,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/1/31,2.974012809,0.632759223,0.367240777,0.038060409,0.961939591,高均值状态,PPI同比高位区制
full_sample,M0001227,中国:PPI:当月同比,2001/2/28,-4.608234147,0.111970743,0.888029257,0.996855748,0.003144252,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/3/31,-2.903620664,0.917358829,0.082641171,0.999513651,0.000486349,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/4/30,-3.06652853,0.919591467,0.080408533,0.999632061,0.000367939,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/5/31,-2.875149069,0.919690931,0.080309069,0.999507582,0.000492418,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/6/30,-1.730084185,0.919586369,0.080413631,0.99716225,0.00283775,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/7/31,-2.700111232,0.91761629,0.08238371,0.999338312,0.000661688,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/8/31,-2.341326716,0.919444182,0.080555818,0.998882349,0.001117651,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/9/30,-1.706698862,0.919061173,0.080938827,0.99703832,0.00296168,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/10/31,-2.488353169,0.917512189,0.082487811,0.999084029,0.000915971,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/11/30,-2.125882583,0.919230584,0.080769416,0.998442039,0.001557961,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2001/12/31,-3.614087756,0.918691313,0.081308687,0.999838861,0.000161139,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/1/31,-3.987386464,0.919864643,0.080135357,0.99991041,8.96E-05,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/2/28,-3.734986474,0.919924745,0.080075255,0.999868284,0.000131716,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/3/31,-2.979286184,0.919889358,0.080110642,0.999581221,0.000418779,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/4/30,-1.541717081,0.919648226,0.080351774,0.99622084,0.00377916,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/5/31,-0.265512083,0.916825506,0.083174494,0.972980369,0.027019631,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/6/30,-1.135828422,0.89730351,0.10269649,0.990836728,0.009163272,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/7/31,-0.019649341,0.912302851,0.087697149,0.958894745,0.041105255,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/8/31,-0.319661242,0.885471586,0.114528414,0.964837838,0.035162162,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/9/30,0.18966154,0.890463784,0.109536216,0.929741595,0.070258405,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/10/31,0.02812117,0.860982939,0.139017061,0.928104734,0.071895266,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/11/30,0.155133126,0.859607977,0.140392023,0.913102476,0.086897524,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2002/12/31,-0.675467005,0.84700608,0.15299392,0.971321683,0.028678317,低均值状态,PPI同比低位区制
full_sample,M0001227,中国:PPI:当月同比,2003/1/31,1.747015016,0.895910214,0.104089786,0.56377527,0.43622473,低均值状态,PPI同比低位区制
