segment_id,evaluation_type,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,regime_label
segment_01,current_segment_refit,1997/9/30,-0.901144476,0.999999999,9.67E-10,0.999999998,2.33E-09,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1997/10/31,-2.449631148,0.919999998,0.080000002,0.994550307,0.005449693,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1997/11/30,-1.186955975,0.915422258,0.084577742,0.898029576,0.101970424,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1997/12/31,-1.169156341,0.834344844,0.165655156,0.797165006,0.202834994,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/1/31,-1.948654979,0.749618605,0.250381395,0.935977904,0.064022096,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/2/28,-2.1182658,0.866221439,0.133778561,0.979220027,0.020779973,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/3/31,-3.126616651,0.902544823,0.097455177,0.99861807,0.00138193,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/4/30,-3.248771583,0.918839179,0.081160821,0.999151445,0.000848555,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/5/31,-4.42098753,0.919287214,0.080712786,0.999946454,5.35E-05,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/6/30,-5.027990449,0.919955021,0.080044979,0.999987276,1.27E-05,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/7/31,-5.796018419,0.919989312,0.080010688,0.999997912,2.09E-06,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/8/31,-5.413214687,0.919998246,0.080001754,0.999994862,5.14E-06,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/9/30,-3.967425792,0.919995684,0.080004316,0.999845853,0.000154147,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/10/31,-2.774370409,0.919870516,0.080129484,0.997449615,0.002550385,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/11/30,-3.948278112,0.917857677,0.082142323,0.999834057,0.000165943,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1998/12/31,-2.893755076,0.919860608,0.080139392,0.998072666,0.001927334,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/1/31,-2.369389554,0.918381039,0.081618961,0.993281561,0.006718439,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/2/28,-2.80176315,0.914356511,0.085643489,0.997428882,0.002571118,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/3/31,-2.812655437,0.917840261,0.082159739,0.997604574,0.002395426,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/4/30,-1.419104846,0.917987842,0.082012158,0.940210718,0.059789282,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/5/31,-4.629112258,0.869777004,0.130222996,0.999944041,5.60E-05,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/6/30,-0.25315473,0.919952994,0.080047006,0.509660544,0.490339456,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/7/31,-1.789549381,0.508114857,0.491885143,0.776247987,0.223752013,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/8/31,-0.620219311,0.732048309,0.267951691,0.369476564,0.630523436,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,1999/9/30,-1.59193937,0.390360313,0.609639687,0.574631908,0.425368092,低均值状态,PPI同比低位区制
segment_01,current_segment_refit,1999/10/31,-0.077496848,0.562690803,0.437309197,0.071476581,0.928523419,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,1999/11/30,-0.929483795,0.140040328,0.859959672,0.067428374,0.932571626,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,1999/12/31,-1.396730992,0.136639834,0.863360166,0.174198446,0.825801554,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/1/31,-0.422288022,0.226326695,0.773673305,0.037894156,0.962105844,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/2/29,1.395226909,0.111831091,0.888168909,0.000235579,0.999764421,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/3/31,0.058883401,0.080197886,0.919802114,0.00377029,0.99622971,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/4/30,2.465309023,0.083167043,0.916832957,1.37E-05,0.999986307,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/5/31,-0.459431304,0.080011502,0.919988498,0.012617602,0.987382398,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/6/30,0.298335002,0.090598786,0.909401214,0.002455795,0.997544205,高均值状态,PPI同比高位区制
segment_01,current_segment_refit,2000/7/31,4.421757033,0.082062868,0.917937132,1.35E-07,0.999999865,高均值状态,PPI同比高位区制
