date,raw_value,hamilton_trend,hamilton_cycle
1996-10-31,0.34,,
1996-11-30,0.04,,
1996-12-31,0.43,,
1997-01-31,0.12,,
1997-02-28,0.44,,
1997-03-31,0.47,,
1997-04-30,0.06,,
1997-05-31,0.07,,
1997-06-30,-0.37,,
1997-07-31,-0.65,,
1997-08-31,-0.89,,
1997-09-30,-0.95,-0.048855523837012194,-0.9011444761629878
1997-10-31,-0.92,1.5296311479612688,-2.4496311479612687
1997-11-30,-0.61,0.5769559754397575,-1.1869559754397576
1997-12-31,-0.92,0.2491563409720602,-1.1691563409720602
1998-01-31,-1.32,0.628654979103664,-1.948654979103664
1998-02-28,-2.65,-0.5317342000971694,-2.1182657999028303
1998-03-31,-3.2,-0.07338334943972297,-3.126616650560277
1998-04-30,-3.69,-0.44122841675327007,-3.2487715832467297
1998-05-31,-4.47,-0.04901247029087763,-4.420987529709122
1998-06-30,-4.88,0.14799044861596444,-5.027990448615965
1998-07-31,-4.96,0.8360184188899582,-5.796018418889958
1998-08-31,-5.54,-0.12678531346649224,-5.413214686533507
1998-09-30,-4.19,-0.222574207629473,-3.9674257923705274
1998-10-31,-5.38,-2.6056295906194498,-2.77437040938055
1998-11-30,-5.68,-1.731721887593154,-3.948278112406846
1998-12-31,-5.38,-2.4862449237263906,-2.8937550762736093
1999-01-31,-4.92,-2.5506104464338826,-2.3693895535661174
1999-02-28,-4.89,-2.0882368497660035,-2.801763150233996
1999-03-31,-4.62,-1.807344563395409,-2.812655436604591
1999-04-30,-3.86,-2.4408951540264674,-1.4191048459735325
1999-05-31,-3.42,1.2091122576453817,-4.629112257645382
1999-06-30,-3.6,-3.346845270001298,-0.25315472999870225
1999-07-31,-2.51,-0.720450619429533,-1.7895493805704668
1999-08-31,-2.3,-1.679780688900907,-0.6202193110990928
1999-09-30,-2.1,-0.5080606297757431,-1.591939370224257
1999-10-31,-0.74,-0.6625031519062503,-0.07749684809374968
1999-11-30,-1.04,-0.11051620454320066,-0.9294837954567994
1999-12-31,-0.83,0.5667309917421512,-1.3967309917421513
2000-01-31,0.03,0.4522880221376475,-0.4222880221376475
