segment_id,init_source,start,end,mu_low,mu_high,sigma,sigma_for_filter,p_stay_low,p_switch_low_to_high,p_switch_high_to_low,p_stay_high,init_prob_low,init_prob_high,log_likelihood,filtered_log_likelihood,iterations
segment_01,sample_quantiles,1997-09-30,2002-08-31,-2.8822243003300323,0.3330224635581803,1.3753509355019586,1.1690482951766648,0.92,0.07999999999999996,0.07999999999999996,0.92,0.9999999990326799,9.673202236810274e-10,-113.35249999627266,-114.98010810711402,18
segment_02,segment_01_params,2002-09-30,2007-08-31,0.5478680917826807,3.654213574988814,1.4270145048861722,1.2129623291532463,0.8786792231851369,0.12132077681486308,0.17524242332620088,0.8247575766737991,1.0,9.955031170415688e-118,-119.44875770068714,-120.78788077066532,88
segment_03,segment_02_params,2007-09-30,2012-08-31,-3.766537507662103,4.853125461394697,3.0212329516780825,2.56804800892637,0.919277899603372,0.08072210039662797,0.09031387598710094,0.9096861240128991,1.385259298052011e-14,0.9999999999999862,-163.59644196438836,-165.18875755807844,17
segment_04,segment_03_params,2012-09-30,2017-08-31,-2.179541520574545,3.7708690824587663,1.7053141288352318,1.449517009509947,0.92,0.07999999999999996,0.10350835607220787,0.8964916439277921,1.0,2.2085791539874887e-53,-124.80237528386812,-126.43703034539998,21
segment_05,segment_04_params,2017-09-30,2022-08-31,-0.9465148806474679,4.36464796446239,2.0821281796674604,1.7698089527173413,0.9077696444081871,0.09223035559181292,0.12627370100692126,0.8737262989930787,1.0,1.1078165708756344e-23,-141.55279422237177,-142.84514846963012,25
segment_06,segment_05_params,2022-09-30,2026-05-31,-2.1883616631533314,1.0902373135366241,1.0568261424598147,0.8983022210908425,0.92,0.07999999999999996,0.15594020622642368,0.8440597937735763,0.9999999962099817,3.790018345715597e-09,-75.52782762994936,-76.7248510224806,11
