model_scope,code,name,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,regime_label
full_sample,M0000545,中国:工业增加值,2005/12/31,4.621020395,1.04E-26,1,4.01E-27,1,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/1/31,1.264277788,0.132743409,0.867256591,0.179998919,0.820001081,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/2/28,7.855486874,0.274448744,0.725551256,0.039580991,0.960419009,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/3/31,5.508140052,0.163903805,0.836096195,0.05076666,0.94923334,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/4/30,4.351127949,0.172709796,0.827290204,0.082182396,0.917817604,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/5/31,5.616003983,0.197442041,0.802557959,0.060455435,0.939544565,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/6/30,7.283172999,0.180337349,0.819662651,0.029110312,0.970889688,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/7/31,4.435647429,0.155660693,0.844339307,0.071065191,0.928934809,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/8/31,3.359854712,0.188689948,0.811310052,0.128147983,0.871852017,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/9/30,4.394243041,0.233628753,0.766371247,0.113920306,0.886079694,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/10/31,2.321753689,0.22242792,0.77757208,0.213404482,0.786595518,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/11/30,2.102400407,0.300747494,0.699252506,0.30769514,0.69230486,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2006/12/31,2.271726302,0.374978436,0.625021564,0.367186333,0.632813667,高均值状态,工业增加值高位区制
full_sample,M0000545,中国:工业增加值,2007/1/31,11.67951147,0.42181327,0.57818673,0.01750639,0.98249361,高均值状态,工业增加值高位区制
