segment_id,evaluation_type,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,regime_label
segment_01,current_segment_refit,2005/12/31,4.621020395,1.18E-27,1,8.86E-29,1,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/1/31,1.264277788,0.08,0.92,0.079212737,0.920787263,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/2/28,7.855486874,0.146394288,0.853605712,0.001075113,0.998924887,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/3/31,5.508140052,0.080901135,0.919098865,0.003337803,0.996662197,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/4/30,4.351127949,0.08279767,0.91720233,0.008280185,0.991719815,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/5/31,5.616003983,0.08694026,0.91305974,0.003323775,0.996676225,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/6/30,7.283172999,0.082785911,0.917214089,0.000878178,0.999121822,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/7/31,4.435647429,0.080736069,0.919263931,0.007555284,0.992444716,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/8/31,3.359854712,0.086332665,0.913667335,0.018363352,0.981636648,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/9/30,4.394243041,0.095391738,0.904608262,0.009347467,0.990652533,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/10/31,2.321753689,0.087834831,0.912165169,0.040583032,0.959416968,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/11/30,2.102400407,0.114015761,0.885984239,0.062704306,0.937295694,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2006/12/31,2.271726302,0.132557302,0.867442698,0.065208168,0.934791832,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/1/31,11.67951147,0.134655981,0.865344019,5.18E-05,0.999948163,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/2/28,-0.560501731,0.080043449,0.919956551,0.258928878,0.741071122,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/3/31,4.679951848,0.297028209,0.702971791,0.029466597,0.970533403,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/4/30,4.797479907,0.104698222,0.895301778,0.007619403,0.992380597,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/5/31,5.617428926,0.086386408,0.913613592,0.003297078,0.996702922,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/6/30,7.424058217,0.082763535,0.917236465,0.000787987,0.999212013,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/7/31,6.260576094,0.080660473,0.919339527,0.001869867,0.998130133,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/8/31,5.82312078,0.08156728,0.91843272,0.002646157,0.997353843,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/9/30,5.791483745,0.082217948,0.917782052,0.002734539,0.997265461,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/10/31,5.276988429,0.082292028,0.917707972,0.004057698,0.995942302,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/11/30,4.925417817,0.083401069,0.916598931,0.005385945,0.994614055,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2007/12/31,4.223311409,0.084514374,0.915485626,0.00933089,0.99066911,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/1/31,2.966936161,0.087820937,0.912179063,0.025124107,0.974875893,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/2/29,2.19016968,0.101058446,0.898941554,0.051803242,0.948196758,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/3/31,4.596940254,0.123420282,0.876579718,0.010667807,0.989332193,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/4/30,2.615762654,0.08894151,0.91105849,0.033087139,0.966912861,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/5/31,2.737496666,0.107732876,0.892267124,0.037115222,0.962884778,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/6/30,2.867628753,0.111109122,0.888890878,0.03485219,0.96514781,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/7/31,1.754970815,0.109212301,0.890787699,0.076825434,0.923174566,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/8/31,-0.141398714,0.144393305,0.855606695,0.329417906,0.670582094,高均值状态,工业增加值高位区制
segment_01,current_segment_refit,2008/9/30,-1.100253496,0.356110485,0.643889515,0.770708704,0.229291296,低均值状态,工业增加值低位区制
segment_01,current_segment_refit,2008/10/31,-3.964643011,0.725990245,0.274009755,0.993159879,0.006840121,低均值状态,工业增加值低位区制
segment_01,current_segment_refit,2008/11/30,-7.013342461,0.912443685,0.087556315,0.99983146,0.00016854,低均值状态,工业增加值低位区制
