segment_id,init_source,start,end,mu_low,mu_high,sigma,sigma_for_filter,p_stay_low,p_switch_low_to_high,p_switch_high_to_low,p_stay_high,init_prob_low,init_prob_high,log_likelihood,filtered_log_likelihood,iterations
segment_01,sample_quantiles,2005-12-31,2010-11-30,-2.74001087447287,5.240575554294153,3.7930715299266593,3.22411080043766,0.9181769162491729,0.08182308375082714,0.07999999999999996,0.92,1.1789523915658744e-27,1.0,-172.0262420147054,-173.64951263305667,20
segment_02,segment_01_params,2010-12-31,2015-11-30,-1.1519183767419532,2.7460824407082147,2.176628288859712,1.8501340455307553,0.92,0.07999999999999996,0.22336401119451954,0.7766359888054805,1.064288703528042e-08,0.999999989357113,-142.46340354089833,-143.94492173750623,41
segment_03,segment_02_params,2015-12-31,2020-11-30,-33.417896098022474,-1.5054344582612313,2.823473389205441,2.399952380824625,5.133322662650724e-32,1.0,0.07999999999999996,0.92,2.595339017608196e-101,1.0,-154.69286186601974,-156.46421744563406,179
segment_04,segment_03_params,2020-12-31,2025-11-30,-1.6594319499745958,-0.8540799631026835,9.719042943252768,8.261186501764852,5.867439197256443e-46,1.0,0.08250916694535071,0.9174908330546493,5.987952752804977e-106,1.0,-221.5943286105225,-223.36390512057702,500
