date,raw_pmi,raw,hp_smooth_trend,hp_cycle,hamilton_cycle,hamilton_trend,bk_cycle,cf_cycle
2007-12-31,55.3,55.3,53.26500345479249,2.0349965452075054,2.696230568081212,52.603769431918785,2.7825145384991754,2.090797187995849
2008-01-31,53.0,53.0,53.21383554108469,-0.21383554108469127,1.0654807908744388,51.93451920912556,2.8438058683587553,1.604773906263874
2008-02-29,53.4,53.4,53.16285266383884,0.2371473361611578,1.3079868700109003,52.0920131299891,2.5101958817083734,0.9341668645131286
2008-03-31,58.4,58.4,53.112184438770534,5.287815561229465,6.069306019113199,52.3306939808868,1.666933400055698,0.10031594847113612
2008-04-30,59.2,59.2,53.061962311435884,6.138037688564118,7.187801952979136,52.01219804702087,0.8326685163643388,-0.8597926385455579
2008-05-31,53.3,53.3,53.012358528437,0.28764147156299913,1.1481574790473417,52.151842520952655,0.12257554096741652,-1.8956527978493125
2008-06-30,52.0,52.0,52.9635926977779,-0.9635926977778979,0.3622781601659,51.6377218398341,-0.7989874004996373,-2.9467198415882048
2008-07-31,48.4,48.4,52.91588664691838,-4.515886646918382,-3.514331058127617,51.914331058127615,-1.7612351452843065,-3.946965944717723
2008-08-31,48.4,48.4,52.86945476818939,-4.469454768189394,-3.90603402675886,52.30603402675886,-2.73851433902716,-4.830115755773406
2008-09-30,51.2,51.2,52.824476609117504,-1.624476609117501,-0.35132208624429495,51.5513220862443,-3.5165406252509914,-5.535091976863717
2008-10-31,44.6,44.6,52.781097230695586,-8.181097230695585,-7.269421110121179,51.86942111012118,-3.98981734476996,-6.011169943989825
2008-11-30,38.8,38.8,52.73944915937475,-13.939449159374753,-13.754093463102251,52.55409346310225,-4.391331820037269,-6.222358667797737
2008-12-31,41.2,41.2,52.6996017958559,-11.499601795855895,-11.223589152103912,52.423589152103915,-4.456304257729427,-6.150592183721532
2009-01-31,45.3,45.3,52.661516983361835,-7.361516983361838,-6.331461141210909,51.631461141210906,-4.18800025414644,-5.797423214744024
2009-02-28,49.0,49.0,52.62506783362002,-3.6250678336200224,-3.0354100712672363,52.035410071267236,-3.5565127597896478,-5.184050539353604
2009-03-31,52.4,52.4,52.59007065652933,-0.19007065652932909,0.6105249414283591,51.78947505857164,-2.8783664802417324,-4.34966828587092
2009-04-30,53.5,53.5,52.55631379078621,0.9436862092137872,2.5892188656730895,50.91078113432691,-1.7392571807430097,-3.3482839994968465
2009-05-31,53.1,53.1,52.52358410849256,0.5764158915074447,1.9359006889806025,51.1640993110194,-0.3279199531306911,-2.2442968780756956
2009-06-30,53.2,53.2,52.49167576327967,0.7083242367203297,3.3341222900251495,49.86587770997485,0.8324901573311303,-1.107243589854132
