method,code,name,mu_low,mu_high,sigma,sigma_for_filter,likelihood_sigma_scale,p_stay_high,p_stay_low,p_switch_high_to_low,p_switch_low_to_high,min_switch_prob,state_prob_threshold,log_likelihood,iterations,nobs,start,end
raw,M0017126,中国:制造业PMI,50.08962695515531,54.30154409680153,1.8515158890681307,1.573788505707911,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-554.3160849069941,11,257,2005-01-31,2026-05-31
hp_smooth_trend,M0017126,中国:制造业PMI,50.34562749260179,53.25359664030793,0.6708484451653116,0.5702211783905149,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-291.13844736602124,14,257,2005-01-31,2026-05-31
hp_cycle,M0017126,中国:制造业PMI,-11.096525395393586,0.22019095918547554,1.4578418209029431,1.2391655477675017,0.85,0.92,0.5999392397901694,0.07999999999999996,0.4000607602098306,0.08,0.5,-498.3061305149612,19,257,2005-01-31,2026-05-31
hamilton_cycle,M0017126,中国:制造业PMI,-0.8309976417730843,2.7448380896482845,1.9802295660969997,1.6831951311824498,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-545.6738542326023,23,246,2005-12-31,2026-05-31
hamilton_trend,M0017126,中国:制造业PMI,50.765425128333824,51.861672772528586,0.36838513835202996,0.31312736759922544,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-135.17829479347557,9,246,2005-12-31,2026-05-31
bk_cycle,M0017126,中国:制造业PMI,-3.427450559767954,0.15346848513229547,0.7147868809207275,0.6075688487826184,0.85,0.92,0.8931375279862878,0.07999999999999996,0.10686247201371224,0.08,0.5,-282.1505343626635,22,233,2006-01-31,2025-05-31
cf_cycle,M0017126,中国:制造业PMI,-4.807708126773551,0.25035961473939594,0.9624641455839599,0.8180945237463658,0.85,0.92,0.912992750972707,0.07999999999999996,0.08700724902729295,0.08,0.5,-387.4375007796663,26,257,2005-01-31,2026-05-31
