method,latest_state_date,model_value,prob_high_state,prob_low_state,state,growth_regime,mu_low,mu_high,p_stay_high,p_stay_low
raw,2026-05-31,50.0,0.0021599590621584038,0.9978400409378416,低均值状态,经济增长偏弱,50.08962695515531,54.30154409680153,0.92,0.92
hp_smooth_trend,2026-05-31,49.57584999545829,2.0046900494576698e-10,0.999999999799531,低均值状态,经济增长偏弱,50.34562749260179,53.25359664030793,0.92,0.92
hp_cycle,2026-05-31,0.42415000454170837,1.0,1.4987714155357904e-20,高均值状态,经济增长偏强,-11.096525395393586,0.22019095918547554,0.92,0.5999392397901694
hamilton_cycle,2026-05-31,-0.6600640382597547,0.014116441954038526,0.9858835580459614,低均值状态,经济增长偏弱,-0.8309976417730843,2.7448380896482845,0.92,0.92
hamilton_trend,2026-05-31,50.660064038259755,5.837975517540531e-05,0.9999416202448246,低均值状态,经济增长偏弱,50.765425128333824,51.861672772528586,0.92,0.92
bk_cycle,2025-05-31,-0.04793527097128547,0.9999999824342608,1.756573914684355e-08,高均值状态,经济增长偏强,-3.427450559767954,0.15346848513229547,0.92,0.8931375279862878
cf_cycle,2026-05-31,0.0787214140871756,0.9999999984081116,1.5918884442002398e-09,高均值状态,经济增长偏强,-4.807708126773551,0.25035961473939594,0.92,0.912992750972707
