method,latest_state_date,model_value,prob_high_state,prob_low_state,state,inflation_regime,mu_low,mu_high,p_stay_high,p_stay_low
raw,2026-05-31,1.2,1.6529647791304658e-13,0.9999999999998347,低通胀状态,通胀偏低,2.502928389158722,20.484624377625188,0.92,0.92
hp_smooth_trend,2026-05-31,0.05263014970781018,2.3803921131275227e-24,1.0,低通胀状态,通胀偏低,1.9379733408975302,11.397550292426997,0.92,0.92
hp_cycle,2026-05-31,1.1473698502921899,4.060396407801907e-06,0.9999959396035922,低通胀状态,通胀偏低,-0.8123458098559078,11.222219814231927,0.92,0.92
hamilton_cycle,2026-05-31,0.5659448539609542,0.0002498333028571185,0.9997501666971429,低通胀状态,通胀偏低,-0.7552031102476684,7.930125393240116,0.9195827203969986,0.92
hamilton_trend,2026-05-31,0.6340551460390458,5.356766897059304e-12,0.9999999999946433,低通胀状态,通胀偏低,2.8308799100808493,17.706075851025997,0.92,0.92
bk_cycle,2025-05-31,-0.42472350921180013,1.3957803353846593e-07,0.9999998604219665,低通胀状态,通胀偏低,-0.27171860967802275,4.5789330995770525,0.899576488720437,0.92
cf_cycle,2026-05-31,0.8990173045637123,4.426169412742722e-06,0.9999955738305872,低通胀状态,通胀偏低,-0.7520442820505071,11.184171483404118,0.92,0.92
