method,start,end,months,state_switches,avg_abs_prob_high_change,low_confidence_months_40_60
bk_cycle,1988-01-31,2025-05-31,449,6,0.013411982975325,2
cf_cycle,1987-01-31,2026-05-31,473,4,0.009747545373239299,3
hamilton_cycle,1987-12-31,2026-05-31,462,8,0.022780584008382492,2
hamilton_trend,1987-12-31,2026-05-31,462,4,0.009302233699474543,1
hp_cycle,1987-01-31,2026-05-31,473,4,0.00910569210488697,1
hp_smooth_trend,1987-01-31,2026-05-31,473,1,0.002118644067799545,0
raw,1987-01-31,2026-05-31,473,4,0.008478254190602235,1
