method,code,name,mu_low,mu_high,sigma,sigma_for_filter,likelihood_sigma_scale,p_stay_high,p_stay_low,p_switch_high_to_low,p_switch_low_to_high,min_switch_prob,state_prob_threshold,log_likelihood,iterations,nobs,start,end
raw,M0000612,中国:CPI:当月同比,2.502928389158722,20.484624377625188,3.0810083325029507,2.618857082627508,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-1262.474656758275,17,473,1987-01-31,2026-05-31
hp_smooth_trend,M0000612,中国:CPI:当月同比,1.9379733408975302,11.397550292426997,1.291169459834462,1.0974940408592928,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-846.5903500728166,8,473,1987-01-31,2026-05-31
hp_cycle,M0000612,中国:CPI:当月同比,-0.8123458098559078,11.222219814231927,2.6033926832453704,2.2128837807585646,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-1183.900945016599,18,473,1987-01-31,2026-05-31
hamilton_cycle,M0000612,中国:CPI:当月同比,-0.7552031102476684,7.930125393240116,2.4900805429540425,2.116568461510936,0.85,0.9195827203969986,0.92,0.08041727960300138,0.07999999999999996,0.08,0.5,-1137.7733265380373,19,462,1987-12-31,2026-05-31
hamilton_trend,M0000612,中国:CPI:当月同比,2.8308799100808493,17.706075851025997,2.9046650620976027,2.468965302782962,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-1207.1208086469394,15,462,1987-12-31,2026-05-31
bk_cycle,M0000612,中国:CPI:当月同比,-0.27171860967802275,4.5789330995770525,1.1390299313703003,0.9681754416647552,0.85,0.899576488720437,0.92,0.10042351127956295,0.07999999999999996,0.08,0.5,-754.8314923445314,22,449,1988-01-31,2025-05-31
cf_cycle,M0000612,中国:CPI:当月同比,-0.7520442820505071,11.184171483404118,2.6859950323127997,2.2830957774658796,0.85,0.92,0.92,0.07999999999999996,0.07999999999999996,0.08,0.5,-1197.5221819367232,28,473,1987-01-31,2026-05-31
