segment_id,init_source,start,end,mu_low,mu_high,sigma,sigma_for_filter,p_stay_low,p_switch_low_to_high,p_switch_high_to_low,p_stay_high,init_prob_low,init_prob_high,end_prob_low,end_prob_high,next_init_prob_low,next_init_prob_high,log_likelihood,iterations,nobs
segment_01,sample_quantiles,2005-12-31,2010-11-30,-6.315342747866063,2.84018663621633,2.399595476791668,2.039656155272918,0.8519195065825022,0.14808049341749785,0.07999999999999996,0.92,7.0642320605907616e-37,1.0,2.728928659994994e-06,0.9999972710713401,0.08000210651326468,0.9199978934867353,-148.18201809201196,15,60
segment_02,segment_01_params,2010-12-31,2015-11-30,-0.5927649703051632,1.3486715339049722,0.5859953451300348,0.4980960433605296,0.92,0.07999999999999996,0.2996093367443239,0.7003906632556761,1.1940182228149946e-138,1.0,0.9999994603614653,5.396385346708745e-07,0.9199996652132916,0.0800003347867084,-64.79728990737857,40,60
segment_03,segment_02_params,2015-12-31,2020-11-30,-1.416350359714409,0.33421091328275476,1.9403785808648415,1.6493217937351152,0.8794144322832036,0.1205855677167964,0.07999999999999996,0.92,1.0,3.577203312676018e-17,0.0313786623401028,0.9686213376598972,0.1050845555404196,0.8949154444595804,-130.32898317992223,33,60
segment_04,segment_03_params,2020-12-31,2025-11-30,-1.180963358356187,0.8932984683676559,0.7595222946509581,0.6455939504533144,0.92,0.07999999999999996,0.31697306216017995,0.68302693783982,1.7100269024921075e-53,1.0,0.999945790220267,5.420977973302344e-05,0.9199673100425266,0.08003268995747334,-79.15675719199791,24,60
