segment_id,evaluation_type,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,growth_regime
segment_01,current_segment_refit,2005-12-31,1.9903882061306533,7.0642320605907616e-37,1.0,1.931892228850179e-40,1.0,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-01-31,0.403825452246096,0.07999999999999996,0.92,0.0007803182347893422,0.9992196817652107,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-02-28,0.1273787301363214,0.08060234286677588,0.9193976571332241,0.0014445907158152544,0.9985554092841847,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-03-31,3.515440769796271,0.08111510775256574,0.9188848922474343,8.416997320317088e-07,0.999999158300268,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-04-30,6.646586971089796,0.0800006497244418,0.9199993502755582,8.432651584858159e-10,0.9999999991567348,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-05-31,3.1526023626088318,0.08000000065093278,0.9199999993490672,1.842505142625538e-06,0.9999981574948574,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-06-30,2.6477683569918895,0.08000142226566054,0.9199985777343396,5.596560099910922e-06,0.9999944034399001,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-07-31,0.8102729127139625,0.08000432009391084,0.9199956799060892,0.00031917357771446927,0.9996808264222856,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-08-31,1.109348597726786,0.0802463763106235,0.9197536236893766,0.0001658333776197468,0.9998341666223803,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-09-30,5.428611963784775,0.08012801001902711,0.919871989980973,1.2325947618963338e-08,0.9999999876740523,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-10-31,3.1773810481498757,0.08000000951463936,0.9199999904853605,1.744721264632137e-06,0.9999982552787354,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-11-30,3.291176308989648,0.08000134678437769,0.9199986532156224,1.3582255695216625e-06,0.9999986417744304,高均值状态,经济增长偏强
segment_01,current_segment_refit,2006-12-31,2.678905325619297,0.08000104844081142,0.9199989515591885,5.225878583694364e-06,0.9999947741214162,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-01-31,3.4148861411233895,0.08000403395761775,0.9199959660423822,1.0345455759625287e-06,0.999998965454424,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-02-28,1.179651211004007,0.0800007985859105,0.9199992014140894,0.00014159314407284905,0.9998584068559272,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-03-31,3.9438102039107505,0.08010929850990814,0.919890701490092,3.234747537370028e-07,0.9999996765252462,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-04-30,6.839850678085945,0.08000024969647225,0.9199997503035278,5.511197172602173e-10,0.9999999994488803,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-05-31,3.487976848539496,0.08000000042542002,0.91999999957458,8.807809551810349e-07,0.9999991192190447,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-06-30,2.759584055496184,0.08000067989200028,0.9199993201079996,4.3756957695465926e-06,0.9999956243042304,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-07-31,1.5150638944645252,0.08000337768491934,0.9199966223150806,6.768802241812398e-05,0.9999323119775819,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-08-31,1.6654406019726125,0.0800522497048665,0.9199477502951335,4.8649982362995184e-05,0.999951350017637,高均值状态,经济增长偏强
segment_01,current_segment_refit,2007-09-30,4.075401983831988,0.08003755387038085,0.9199624461296192,2.419055466910207e-07,0.9999997580944533,高均值状态,经济增长偏强
