source_segment_id,target_segment_id,evaluation_type,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,growth_regime,log_likelihood_under_previous_params
segment_01,segment_02,next_segment_using_previous_params,2010-12-31,1.5650656219862071,0.08000210651326468,0.9199978934867353,6.063413516607644e-05,0.9999393658648339,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-01-31,1.3884439297454492,0.08004680467169942,0.9199531953283006,8.949076596917117e-05,0.9999105092340309,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-02-28,0.5301132471687495,0.08006907966791058,0.9199309203320895,0.0005916420060939156,0.999408357993906,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-03-31,1.757734831105445,0.08045670000541746,0.9195432999945825,3.9925832424172454e-05,0.9999600741675759,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-04-30,1.4271860125276845,0.08003081952886473,0.9199691804711353,8.215964756454165e-05,0.9999178403524355,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-05-31,0.4829570674672823,0.08006342063460897,0.9199365793653911,0.0006562481126488367,0.9993437518873511,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-06-30,-0.6366022931214914,0.08050657071931154,0.9194934292806884,0.007702714293894996,0.9922972857061051,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-07-31,-0.9438207746819813,0.08594587541708938,0.9140541245829107,0.01612657579447104,0.9838734242055289,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-08-31,-0.8647091041849322,0.09244841843013336,0.9075515815698666,0.014700549642358136,0.9852994503576419,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-09-30,-0.5267147498198597,0.09134764102642062,0.9086523589735793,0.006949648007417185,0.9930503519925828,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-10-31,-1.3158430922637692,0.0853645688608075,0.9146354311391925,0.035580619804721124,0.9644193801952788,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-11-30,-2.693409212124287,0.1074653744835599,0.8925346255164401,0.49666083393207944,0.5033391660679206,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2011-12-31,-1.22739986009789,0.4633821858677048,0.5366178141322953,0.2193418961037204,0.7806581038962797,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-01-31,-0.7768724983353223,0.2493142882132543,0.7506857117867457,0.03854802212596798,0.961451977874032,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-02-29,-0.2983358656718238,0.10975597021920855,0.8902440297807915,0.005165163969653326,0.9948348360303466,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-03-31,1.9006076657082147,0.08398709082287248,0.9160129091771274,3.0550987413370324e-05,0.9999694490125867,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-04-30,2.1823382516881367,0.0800235829031297,0.9199764170968704,1.5591653553007947e-05,0.999984408346447,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-05-31,-0.6089424629614868,0.0800120355015174,0.9199879644984825,0.0072030500456828255,0.9927969499543172,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-06-30,-0.679856675379348,0.08556017483715252,0.9144398251628475,0.009041336707574186,0.9909586632924259,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-07-31,-0.6060710588823,0.0869791841701569,0.9130208158298432,0.00783532170599565,0.9921646782940045,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-08-31,-1.7042202041474397,0.0860482376652073,0.9139517623347928,0.08044753662826434,0.9195524633717357,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-09-30,-1.0734450572856886,0.14209902277986755,0.8579009772201325,0.036985188121284616,0.9630148118787154,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-10-31,-0.5152703886928549,0.10854958816544301,0.891450411834557,0.008198034225266911,0.9918019657747331,高均值状态,经济增长偏强,-180.33385027479633
